source_id,site_id,series_length_band,historical_bloom_present,coverage_band,stratum_id,fold_id
wqp,wqp:21FLSFWM-A04,long,true,high,long|true|high,4
wqp,wqp:21FLSFWM-MH12000,long,true,high,long|true|high,4
wqp,wqp:21FLSFWM-PLN2OUT,long,true,high,long|true|high,4
wqp,wqp:21FLSFWM-RITAEAST,long,true,high,long|true|high,4
wqp,wqp:21FLSJWM_WQX-44488,long,true,high,long|true|high,4
wqp,wqp:21FLSWFD_WQX-23169,long,true,high,long|true|high,4
wqp,wqp:21FLSWFD_WQX-23614,long,false,high,long|false|high,4
wqp,wqp:21NC03WQ-CPF055E,long,true,high,long|true|high,4
wqp,wqp:21NC03WQ-CPF081A1B,medium,true,high,medium|true|high,4
wqp,wqp:21NDHDWQ_WQX-385310,medium,false,high,medium|false|high,4
wqp,wqp:21SC60WQ_WQX-LCR-04,medium,true,high,medium|true|high,4
wqp,wqp:21VASWCB-9-NEW098.32,long,true,medium,long|true|medium,4
wqp,wqp:MNPCA-25-0001-00-248,medium,true,high,medium|true|high,4
wqp,wqp:MNPCA-86-0282-00-201,long,true,high,long|true|high,4
wqp,wqp:21DELAWQ_WQX-308031,long,true,high,long|true|high,5
wqp,wqp:21FLCBA_WQX-WAL-CAMPBELL-3,medium,false,medium,medium|false|medium,5
wqp,wqp:21FLLCPC_WQX-LLHARRISSWSH,long,true,high,long|true|high,5
wqp,wqp:21FLSFWM-KRAMIN,short,true,high,short|true|high,5
wqp,wqp:21FLSFWM-MH24000,long,true,high,long|true|high,5
wqp,wqp:21FLSFWM-TREEOUT,long,true,high,long|true|high,5
wqp,wqp:21FLSJWM_WQX-44057,medium,true,high,medium|true|high,5
wqp,wqp:21FLSWFD_WQX-23152,long,true,high,long|true|high,5
wqp,wqp:21FLSWFD_WQX-23628,long,false,high,long|false|high,5
wqp,wqp:21NC03WQ-CPF055C3,medium,true,high,medium|true|high,5
wqp,wqp:21NC03WQ-LC01,long,true,high,long|true|high,5
wqp,wqp:21NC03WQ-YAD152C,long,true,medium,long|true|medium,5
wqp,wqp:21SC60WQ_WQX-S-309,long,true,high,long|true|high,5
wqp,wqp:21SC60WQ_WQX-SV-336,long,false,medium,long|false|medium,5
wqp,wqp:OKWRB-LAKES_WQX-520710020020-02,long,true,high,long|true|high,5
wqp,wqp:USGS-0207987950,medium,false,high,medium|false|high,5
wqp,wqp:USGS-0214148975,short,false,high,short|false|high,5
wqp,wqp:USGS-02338720,long,true,high,long|true|high,5
wqp,wqp:USGS-07263297,long,false,high,long|false|high,5
