source_id,split,horizon_months,rows,sites,bloom_positive,target_risk_chla_mean,origin_panel_matched_rows,current_chla_forbidden_present_rows,any_nutrient_rows,both_nutrients_rows,nutrient_ratio_rows,temperature_rows,light_proxy_rows,physicochemical_rows,precursor_ready_rows,mean_nonseason_exogenous_groups,origin_min,origin_max,target_min,target_max,high,low,medium,season_only,high_rate,medium_rate,low_rate,season_only_rate,origin_panel_matched_rate,current_chla_forbidden_present_rate,any_nutrient_rate,both_nutrients_rate,nutrient_ratio_rate,temperature_rate,light_proxy_rate,physicochemical_rate,precursor_ready_rate,bloom_rate
lakebed_us_cse,test,2,151,14,19,0.38313782354465864,132,136,60,57,57,132,89,130,60,2.7218543046357615,2022-01,2023-10,2022-03,2023-12,60,72,0,19,0.3973509933774834,0.0,0.4768211920529801,0.12582781456953643,0.8741721854304636,0.9006622516556292,0.3973509933774834,0.37748344370860926,0.37748344370860926,0.8741721854304636,0.5894039735099338,0.8609271523178808,0.3973509933774834,0.12582781456953643
lakebed_us_cse,test,3,143,14,17,0.3741933626156493,126,122,59,56,56,126,84,124,59,2.7482517482517483,2022-01,2023-09,2022-04,2023-12,59,67,0,17,0.4125874125874126,0.0,0.46853146853146854,0.11888111888111888,0.8811188811188811,0.8531468531468531,0.4125874125874126,0.3916083916083916,0.3916083916083916,0.8811188811188811,0.5874125874125874,0.8671328671328671,0.4125874125874126,0.11888111888111888
lakebed_us_cse,train,1,2760,21,311,0.2787611793885647,2757,2680,2442,2268,2261,2748,2659,2737,2431,3.8355072463768116,1981-06,2018-11,1981-07,2018-12,2431,316,10,3,0.8807971014492754,0.0036231884057971015,0.1144927536231884,0.0010869565217391304,0.9989130434782608,0.9710144927536232,0.8847826086956522,0.8217391304347826,0.8192028985507246,0.9956521739130435,0.9634057971014492,0.9916666666666667,0.8807971014492754,0.11268115942028986
lakebed_us_cse,train,2,2776,21,305,0.2755065063002767,2772,2676,2454,2295,2285,2765,2676,2760,2451,3.838256484149856,1981-05,2018-10,1981-07,2018-12,2451,319,2,4,0.8829250720461095,0.0007204610951008645,0.1149135446685879,0.001440922190201729,0.9985590778097982,0.9639769452449568,0.8840057636887608,0.8267291066282421,0.8231268011527377,0.9960374639769453,0.9639769452449568,0.9942363112391931,0.8829250720461095,0.10987031700288184
lakebed_us_cse,train,3,2768,21,287,0.2673638239025219,2765,2662,2436,2282,2272,2759,2674,2748,2428,3.835621387283237,1981-04,2018-09,1981-07,2018-12,2428,330,7,3,0.8771676300578035,0.0025289017341040463,0.11921965317919075,0.001083815028901734,0.9989161849710982,0.9617052023121387,0.880057803468208,0.8244219653179191,0.8208092485549133,0.9967485549132948,0.9660404624277457,0.9927745664739884,0.8771676300578035,0.1036849710982659
lakebed_us_cse,validation,1,445,21,55,0.34955522157795516,444,415,330,320,320,443,392,441,330,3.608988764044944,2019-01,2021-11,2019-02,2021-12,330,114,0,1,0.7415730337078652,0.0,0.25617977528089886,0.0022471910112359553,0.9977528089887641,0.9325842696629213,0.7415730337078652,0.7191011235955056,0.7191011235955056,0.9955056179775281,0.8808988764044944,0.9910112359550561,0.7415730337078652,0.12359550561797752
lakebed_us_cse,validation,2,430,21,55,0.35668865973953,429,388,318,309,309,428,361,425,318,3.562790697674419,2019-01,2021-10,2019-03,2021-12,318,111,0,1,0.7395348837209302,0.0,0.25813953488372093,0.002325581395348837,0.9976744186046511,0.9023255813953488,0.7395348837209302,0.7186046511627907,0.7186046511627907,0.9953488372093023,0.8395348837209302,0.9883720930232558,0.7395348837209302,0.12790697674418605
lakebed_us_cse,validation,3,421,21,51,0.344097424270878,421,363,311,303,303,420,340,416,311,3.532066508313539,2019-01,2021-09,2019-04,2021-12,311,110,0,0,0.7387173396674585,0.0,0.26128266033254155,0.0,1.0,0.8622327790973872,0.7387173396674585,0.7197149643705463,0.7197149643705463,0.997624703087886,0.8076009501187649,0.9881235154394299,0.7387173396674585,0.12114014251781473
wqp,test,1,55151,6765,8933,0.36752458133283,54737,51248,47882,25095,25095,31431,51400,26799,26320,2.856013490235898,2022-01,2026-03,2022-02,2026-04,26320,8980,19437,414,0.4772352269224493,0.35243241283022975,0.16282569672354083,0.007506663523780167,0.9924933364762198,0.929230657649,0.8681982194339178,0.45502348098855866,0.45502348098855866,0.5699080705698899,0.9319867273485521,0.4859204728835379,0.4772352269224493,0.1619734909611793
wqp,test,2,50423,7261,8956,0.38988486436711584,50091,46000,44220,24178,24169,28087,47084,24852,23726,2.8606588263292547,2022-01,2026-02,2022-03,2026-04,23726,7772,18593,332,0.47053923804612974,0.36874045574440234,0.15413600936080757,0.006584296848660334,0.9934157031513396,0.9122820934890824,0.8769807429149397,0.4795034012256312,0.47932491125081805,0.5570275469527795,0.9337802193443469,0.4928703171171886,0.47053923804612974,0.1776173571584396
wqp,test,3,43696,6970,7933,0.4002688271365501,43458,39138,38958,22495,22495,23909,41128,22490,20480,2.8946585499816915,2022-01,2025-11,2022-04,2026-02,20480,5959,17019,238,0.4686927865250824,0.3894864518491395,0.1363740388136214,0.005446722812156719,0.9945532771878433,0.8956883925302087,0.8915690223361407,0.5148068473086781,0.5148068473086781,0.5471667887220798,0.9412303185646284,0.5146924203588429,0.4686927865250824,0.1815497986085683
wqp,train,1,432276,22308,87722,0.40924161630472206,405796,407672,190780,41194,41191,215942,382709,187887,147960,2.2608657431825963,1970-03,2018-11,1970-04,2018-12,147960,222978,34858,26480,0.3422813202676068,0.0806382959035431,0.5158232240513005,0.06125715977754953,0.9387428402224505,0.9430826601523101,0.44133840416770764,0.09529559818264258,0.09528865817209375,0.49954658597747736,0.8853348323756118,0.4346459206617994,0.3422813202676068,0.20293053512108006
wqp,train,2,399759,23739,84552,0.4216850883950257,374929,371854,165815,35853,35852,197780,353000,178156,131447,2.238226031183788,1970-02,2018-10,1970-04,2018-12,131447,216200,27282,24830,0.328815611405872,0.06824611828626748,0.5408258475731629,0.06211242273469766,0.9378875772653024,0.9301954427542595,0.414787409414172,0.08968653613802316,0.08968403463086509,0.4947480857216473,0.8830320267961447,0.4456585092518242,0.328815611405872,0.21150743322852017
wqp,train,3,365093,23084,78556,0.4317608876584542,342312,337944,140321,29141,29139,179138,322472,168278,113897,2.2191852486900596,1970-04,2018-09,1970-07,2018-12,113897,207899,20516,22781,0.31196708783789334,0.05619390127994785,0.5694412108695592,0.06239780001259953,0.9376021999874005,0.925638125080459,0.38434316735735824,0.07981801897050889,0.07981254091423282,0.4906640225915041,0.883259881728765,0.46091817701243243,0.31196708783789334,0.2151670944115609
wqp,validation,1,52222,6907,8075,0.35957041067471684,51749,47446,44854,23330,23329,30091,48278,24337,24789,2.8256290452299795,2019-01,2021-11,2019-02,2021-12,24789,8488,18472,473,0.47468499865956876,0.3537206541304431,0.16253686185898664,0.009057485351001494,0.9909425146489985,0.9085442916778369,0.8589100379150549,0.4467465819003485,0.4467274328826931,0.5762130902684692,0.924476274367125,0.46602964267933056,0.47468499865956876,0.1546283175673088
wqp,validation,2,47050,7337,7629,0.3738098218209934,46658,41156,40641,22073,22072,26409,43403,22254,21941,2.8205526036131774,2019-01,2021-10,2019-03,2021-12,21941,7519,17198,392,0.4663336875664187,0.3655260361317747,0.1598087141339001,0.008331562167906483,0.9916684378320935,0.8747290116896919,0.8637832093517535,0.46913921360255045,0.46911795961742825,0.5612964930924549,0.9224867162592986,0.47298618490967054,0.4663336875664187,0.16214665249734325
wqp,validation,3,41154,7244,6876,0.38624880134847095,40873,35135,36185,20342,20341,22428,38414,20107,19054,2.8462360888370513,2019-01,2021-09,2019-04,2021-12,19054,5927,15892,281,0.46299266170967585,0.3861593040773679,0.14402002235505662,0.006828011857899597,0.9931719881421004,0.8537444719832823,0.8792583952957185,0.49428974097293094,0.49426544199834765,0.5449774019536375,0.9334208096418332,0.48857948194586187,0.46299266170967585,0.1670797492345823
