evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,coverage_nominal,rows,picp,mpiw,winkler,status,interval_method,inference_performed,artifact_path,authority_commit,limitation
fresh_primary,B2,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,B2,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,M0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,M0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,M0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,P0,-1,family,1,0.9,966,0.2225672878,0.4427472618,5.071835118,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,P0,-1,family,2,0.9,933,0.2261521972,0.4301652986,5.180259452,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,P0,-1,family,3,0.9,885,0.206779661,0.4031753465,5.369876824,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,P1,-1,family,1,0.9,966,0.1283643892,0.4007740851,5.314129691,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,P1,-1,family,2,0.9,933,0.1093247588,0.3348155685,5.853696854,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,P1,-1,family,3,0.9,885,0.09717514124,0.3036577612,6.089555548,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,A0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,A0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,A0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,A1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,A1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,A1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,B1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,B1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,B1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,B2,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,B2,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,B2,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,M0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,M0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,M0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,P0,-1,family,1,0.9,635,0.3433070866,0.4289643094,4.333124848,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,P0,-1,family,2,0.9,625,0.3072,0.4180770076,4.432604263,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,P0,-1,family,3,0.9,609,0.2676518883,0.3959618151,4.601829817,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,P1,-1,family,1,0.9,635,0.1606299213,0.400868036,4.539297634,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,P1,-1,family,2,0.9,625,0.1184,0.3348088248,5.06731931,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
legacy_posthoc,P1,-1,family,3,0.9,609,0.1083743842,0.3036651403,5.326672197,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
