mifal_input_audit_version,mifal_variable,role,adapter_status,panel_columns_expected,panel_columns_found,panel_units,mifal_units,rows,present_rows,missing_rows,coverage_rate,adapter_note,split,horizon_months
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,test,1
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,test,1
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,test,1
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,502,1498,0.251,Origin-month water temperature maps directly to MIFAL water temperature.,test,2
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,784,1216,0.392,Total phosphorus maps directly to MIFAL TP.,test,2
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,454,1546,0.227,Adapter must divide by 1000 before passing TN to MIFAL.,test,2
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,774,1226,0.387,Secchi depth maps directly to transparency/light availability.,test,2
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,298,1702,0.149,Turbidity can support light limitation when Secchi is absent.,test,2
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,425,1575,0.2125,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,test,2
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1927,73,0.9635,Origin-month Chl-a can assimilate the analysis state before forecasting.,test,2
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1927,73,0.9635,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,test,2
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,test,2
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,test,2
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,test,2
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,test,2
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,test,2
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,test,2
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,test,2
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,test,2
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,test,2
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,458,1542,0.229,Origin-month water temperature maps directly to MIFAL water temperature.,test,3
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,762,1238,0.381,Total phosphorus maps directly to MIFAL TP.,test,3
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,463,1537,0.2315,Adapter must divide by 1000 before passing TN to MIFAL.,test,3
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,748,1252,0.374,Secchi depth maps directly to transparency/light availability.,test,3
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,326,1674,0.163,Turbidity can support light limitation when Secchi is absent.,test,3
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,418,1582,0.209,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,test,3
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1924,76,0.962,Origin-month Chl-a can assimilate the analysis state before forecasting.,test,3
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1924,76,0.962,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,test,3
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,test,3
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,test,3
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,test,3
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,test,3
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,test,3
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,test,3
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,test,3
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,test,3
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,test,3
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,316,1684,0.158,Origin-month water temperature maps directly to MIFAL water temperature.,train,1
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,269,1731,0.1345,Total phosphorus maps directly to MIFAL TP.,train,1
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,70,1930,0.035,Adapter must divide by 1000 before passing TN to MIFAL.,train,1
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,506,1494,0.253,Secchi depth maps directly to transparency/light availability.,train,1
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,129,1871,0.0645,Turbidity can support light limitation when Secchi is absent.,train,1
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,262,1738,0.131,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,train,1
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1960,40,0.98,Origin-month Chl-a can assimilate the analysis state before forecasting.,train,1
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1960,40,0.98,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,train,1
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,train,1
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,train,1
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,train,1
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,train,1
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,train,1
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,train,1
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,train,1
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,train,1
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,train,1
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,309,1691,0.1545,Origin-month water temperature maps directly to MIFAL water temperature.,train,2
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,237,1763,0.1185,Total phosphorus maps directly to MIFAL TP.,train,2
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,89,1911,0.0445,Adapter must divide by 1000 before passing TN to MIFAL.,train,2
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,518,1482,0.259,Secchi depth maps directly to transparency/light availability.,train,2
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,124,1876,0.062,Turbidity can support light limitation when Secchi is absent.,train,2
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,247,1753,0.1235,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,train,2
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1963,37,0.9815,Origin-month Chl-a can assimilate the analysis state before forecasting.,train,2
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1963,37,0.9815,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,train,2
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,train,2
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,train,2
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,train,2
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,train,2
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,train,2
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,train,2
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,train,2
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,train,2
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,train,2
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,298,1702,0.149,Origin-month water temperature maps directly to MIFAL water temperature.,train,3
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,200,1800,0.1,Total phosphorus maps directly to MIFAL TP.,train,3
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,70,1930,0.035,Adapter must divide by 1000 before passing TN to MIFAL.,train,3
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,510,1490,0.255,Secchi depth maps directly to transparency/light availability.,train,3
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,158,1842,0.079,Turbidity can support light limitation when Secchi is absent.,train,3
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,267,1733,0.1335,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,train,3
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1956,44,0.978,Origin-month Chl-a can assimilate the analysis state before forecasting.,train,3
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1956,44,0.978,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,train,3
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,train,3
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,train,3
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,train,3
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,train,3
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,train,3
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,train,3
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,train,3
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,train,3
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,train,3
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,418,1582,0.209,Origin-month water temperature maps directly to MIFAL water temperature.,validation,1
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,563,1437,0.2815,Total phosphorus maps directly to MIFAL TP.,validation,1
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,300,1700,0.15,Adapter must divide by 1000 before passing TN to MIFAL.,validation,1
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,572,1428,0.286,Secchi depth maps directly to transparency/light availability.,validation,1
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,185,1815,0.0925,Turbidity can support light limitation when Secchi is absent.,validation,1
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,319,1681,0.1595,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,validation,1
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1948,52,0.974,Origin-month Chl-a can assimilate the analysis state before forecasting.,validation,1
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1948,52,0.974,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,validation,1
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,validation,1
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,validation,1
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,339,1661,0.1695,Origin-month water temperature maps directly to MIFAL water temperature.,validation,2
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,522,1478,0.261,Total phosphorus maps directly to MIFAL TP.,validation,2
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,296,1704,0.148,Adapter must divide by 1000 before passing TN to MIFAL.,validation,2
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,510,1490,0.255,Secchi depth maps directly to transparency/light availability.,validation,2
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,183,1817,0.0915,Turbidity can support light limitation when Secchi is absent.,validation,2
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,273,1727,0.1365,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,validation,2
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1925,75,0.9625,Origin-month Chl-a can assimilate the analysis state before forecasting.,validation,2
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1925,75,0.9625,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,validation,2
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,validation,2
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,Visual,optional_qualitative_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Visual bloom reports are not in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,Rain,optional_runoff,unavailable_in_freeze,,,mm,mm,2000,0,2000,0.0,Recent precipitation is not in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,LandLoad,optional_runoff,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Land-load/runoff pressure is not in the current frozen monthly panel.,validation,2
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,347,1653,0.1735,Origin-month water temperature maps directly to MIFAL water temperature.,validation,3
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,521,1479,0.2605,Total phosphorus maps directly to MIFAL TP.,validation,3
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,304,1696,0.152,Adapter must divide by 1000 before passing TN to MIFAL.,validation,3
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,497,1503,0.2485,Secchi depth maps directly to transparency/light availability.,validation,3
